ano,sequencial_candidato,nome,uf,partido,quantidade_doacoes,quantidade_doadores,total_receita,media_receita,recursos_de_outros_candidatos.comites,recursos_de_pessoas_fisicas,recursos_de_pessoas_juridicas,recursos_proprios,recursos_de_partido_politico,quantidade_despesas,quantidade_fornecedores,total_despesa,media_despesa,cargo,sexo,grau,estado_civil,ocupacao,votos,total
2006,10005,WALDIR BERTULIO,MT,PSOL,8,7,3e3,375,0,3e3,0,0,0,8,4,2350,293.75,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PROFESSOR DE ENSINO SUPERIOR,1507,9045.75
2006,10006,CASSIA REGINA DE JESUS MARTINS,SP,PRONA,2,2,1293.54,646.77,0,0,0,1293.54,0,2,2,1019.2,509.6,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),M<c3><89>DICO,1099,4770.65
2006,10006,INACIO BEZERRA DE SOUZA,RO,PT,1,1,1125,1125,0,0,0,0,1125,1,1,1125,1125,DEPUTADO FEDERAL,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),SERVIDOR P<c3><9a>BLICO CIVIL APOSENTADO,858,5629
2006,10006,MARCO ANTONIO CAMENAR,PR,PPS,12,11,2930,244.17,0,1910,0,1020,0,35,31,2753.41,78.67,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,CASADO(A),OUTROS,1680,9025.25
2006,10006,MARCOS AIRES RODRIGUES,TO,PSOL,1,1,600,600,0,600,0,0,0,6,6,562.5,93.75,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADVOGADO,1145,2470.25
2006,10006,RAIMUNDO RODRIGUES FILHO,SE,PDT,5,4,2015.05,403.01,0,0,0,2015.05,0,10,10,2015.05,201.5,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),FISCAL,3500,6678.660000000001
2006,10006,SILVIO NUNES MACHADO,RS,PT,16,15,5603.22,350.2,0,633.22,0,4970,0,54,41,3490.86,64.65,DEPUTADO FEDERAL,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),VEREADOR,4096,15238.150000000001
2006,10007,BENJAMIM ZANLORENCI JUNIOR,PR,PPS,2,2,3245.39,1622.69,0,0,3e3,245.39,0,15,15,3245.39,216.36,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADMINISTRADOR,1440,11609.22
2006,10007,DAISY FERREIRA NETTO,SP,PRONA,4,4,2867.84,716.96,0,2306.61,0,561.23,0,8,7,2806.84,350.86,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),ASSISTENTE SOCIAL,1025,9633.34
2006,10007,D<c3><9a>LCIO DA SILVA MENDES,RO,PT,17,17,24683.33,1451.96,1125,15058.33,0,8500,0,56,47,19245.65,343.67,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ODONT<c3><93>LOGO,11052,70544.94
2006,10007,LUIS ANTONIO FERREIRA CAETANO,MS,PRONA,1,1,1e3,1e3,0,1e3,0,0,0,7,6,875,125,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADMINISTRADOR,1191,4015
2006,10007,PAULO ROBERTO SEVERO PIMENTA,RS,PT,269,249,606332.67,2254.02,1154,329116.26,206800.24,69262.17,0,392,298,506442.84,1291.95,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),JORNALISTA E REDATOR,104430,1723862.15
2006,10008,GILCLEIDE MARIA DOS SANTOS ALVES,MS,PRONA,2,2,1505,752.5,0,1505,0,0,0,2,2,1505,752.5,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),ADVOGADO,924,6028
2006,10008,LUCIANA DE ALMEIDA COSTA,SP,PRONA,6,6,2106,351,0,0,0,2106,0,10,10,1827.49,182.75,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,SEPARADO(A) JUDICIALMENTE,ODONT<c3><93>LOGO,3980,6605.24
2006,10008,LUIZ ARY GIN,PR,PPS,13,13,74554.74,5734.98,0,8413,57127,9014.74,0,66,59,69429.63,1051.96,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO INCOMPLETO,CASADO(A),OUTROS,5034,225477.05000000005
2006,10008,OLIBIO ESTEV<c3><83>O NUNES DE FREITAS,RS,PT,6,5,2580,430,0,2500,0,80,0,19,18,2208.15,116.22,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO INCOMPLETO,CASADO(A),AGRICULTOR,4172,7962.37
2006,10008,S<c3><94>NIA CRISTINA ARRABAL DE BRITO,RO,PT,16,16,16667.64,1041.73,1125,9892.64,0,5650,0,27,25,15612.65,578.25,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,CASADO(A),ADVOGADO,10066,50651.91
2006,10009,ADEMILTO SILVA DE SOUZA,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),OUTROS,777,2664.5699999999997
2006,10009,ADRIANO BENAYON DO AMARAL,SP,PRONA,11,9,31025,2820.45,0,0,0,31025,0,36,29,30957.49,859.93,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADVOGADO,728,96772.87
2006,10009,EMILIA THEREZINHA XAVIER FERNANDES,RS,PT,103,98,282276.48,2740.55,0,92620.27,98766.21,90890,0,264,189,208423.52,789.48,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PROFESSOR DE ENSINO M<c3><89>DIO,68828,777160.51
2006,10009,RENATA EITELWEIN BUENO,PR,PPS,9,9,11550,1283.33,0,9550,2e3,0,0,48,41,10480.07,218.33,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),ADVOGADO,24102,35188.73
2006,10010,ANT<c3><94>NIO JOS<c3><89> DA SILVA,MG,PPS,5,5,3273.91,654.78,3002,271.91,0,0,0,13,12,3273.43,251.8,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),COMERCIANTE,2385,10762.829999999998
2006,10010,ENEAS FERREIRA CARNEIRO,SP,PRONA,2,2,6047.07,3023.53,0,0,0,6047.07,0,2,2,6004.8,3002.4,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),DEPUTADO,386905,24132.87
2006,10010,EURIPEDES MIRANDA BOTELHO,RO,PT,73,64,238546.91,3267.77,1125,68380.96,35740.95,133300,0,352,283,202673.51,575.78,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADVOGADO,20096,684382.8800000001
2006,10010,HENRIQUE FONTANA JUNIOR,RS,PT,179,146,433624.62,2422.48,50,95763,301318,36493.62,0,495,400,354609.66,716.38,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),M<c3><89>DICO,90549,1226217.7599999998
2006,10010,RONALDO CORREIA ALMEIDA,ES,PSOL,2,2,120,60,0,0,0,120,0,3,3,339.7,113.23,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BIBLIOTEC<c3><81>RIO,1786,762.9300000000001
2006,10010,SAINT CLAIR SILVA PEREIRA,RJ,PL,3,3,1559.63,519.88,0,0,0,0,1559.63,3,3,1559.63,519.88,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),OUTROS,5904,5730.6500000000005
2006,10011,ADRIANO LIMA CORREA,ES,PSOL,139,134,47228.27,339.77,640,26562,400,19626.27,0,54,50,41267.27,764.21,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),FISCAL,2702,137204.79
2006,10011,ELIMAR MAXIMO DAMASCENO,SP,PRONA,1,1,8400,8400,0,0,0,8400,0,4,4,8332.7,2083.18,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,1567,35625.880000000005
2006,10011,JOS<c3><89> HUMBERTO SOARES,MG,PPS,27,22,67277,2491.74,2307,30970,34e3,0,0,141,127,65070.09,461.49,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ENGENHEIRO,48566,202894.31999999998
2006,10011,MARCO AUR<c3><89>LIO SPALL MAIA,RS,PT,92,83,189897.5,2064.1,2167.5,117730,4e4,3e4,0,153,144,168159.62,1099.08,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),TRABALHADOR METAL<c3><9a>RGICO E SIDER<c3><9a>RGICO,70983,551589.7999999999
2006,10011,N<c3><89>RIO LOUREN<c3><87>O BIANCHINI,RO,PT,40,33,78221.04,1955.53,0,20185,36510.42,21525.62,0,109,90,66534.07,610.4,DEPUTADO FEDERAL,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),EMPRES<c3><81>RIO,11354,225814.08000000002
2006,10011,NOEDI BITTENCOURT MARTINS,PR,PPS,8,8,37318.55,4664.82,0,0,0,37318.55,0,17,16,30701.18,1805.95,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),ADVOGADO,4789,111858.05
2006,10012,CEZAR AUGUSTO CAROLLO SILVESTRI,PR,PPS,48,45,556859.8,11601.25,0,31406.43,505151.89,20301.48,0,275,227,427947.05,1556.17,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,88962,1555419.07
2006,10012,LUIS HENRIQUE CAMPOS,ES,PSOL,11,11,3781,343.73,0,1328,380,2073,0,18,18,3779.74,209.99,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADMINISTRADOR,4001,11953.46
2006,10012,MARIA CONCEI<c3><87><c3><83>O LOPES FONTOURA,RS,PT,15,14,8752,583.47,1637,2100,3e3,2015,0,58,45,5703.22,98.33,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),SERVIDOR P<c3><9a>BLICO FEDERAL,10947,24021.019999999997
2006,10012,MARIA DOS ANJOS DE SOUZA CAMARDELLA,RJ,PL,5,5,18613.43,3722.69,613.43,0,0,18e3,0,19,18,18101.99,952.74,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,CASADO(A),POLICIAL CIVIL,3234,60051.280000000006
2006,10012,MARLENE MARQUES DA SILVA,SP,PRONA,1,1,250.95,250.95,0,0,0,250.95,0,1,1,250,250,DEPUTADO FEDERAL,FEMININO,ENSINO M<c3><89>DIO COMPLETO,SOLTEIRO(A),"ESTUDANTE, BOLSISTA, ESTAGI<c3><81>RIO E ASSEMELHADOS",757,1256.8500000000001
2006,10012,MAURO JORGE DE PAULA BONFIM,MG,PPS,34,29,324004.63,9529.55,3378.5,10900,1902.4,307823.73,0,364,291,295224.92,811.06,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADVOGADO,34014,954292.79
2006,10012,SEBASTI<c3><83>O ROBERTO PINTO,RO,PT,4,4,11202.26,2800.57,1125,39.26,0,10038,0,6,6,11202.26,1867.04,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),SERVIDOR P<c3><9a>BLICO ESTADUAL,1145,38294.39
2006,10013,CARLOS FREDERICO THEODORO NADER,RJ,PL,12,10,156929.39,13077.45,0,135e3,10929.39,11e3,0,114,85,131738.4,1155.6,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),DEPUTADO,29559,460051.23000000004
2006,10013,GILMAR FERREIRA RODRIGUES,MG,PPS,2,2,3002,1501,3002,0,0,0,0,2,2,3002,1501,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),"ESTUDANTE, BOLSISTA, ESTAGI<c3><81>RIO E ASSEMELHADOS",907,12016
2006,10013,LEONARDO ESTANISLAU SZINWELSKI,RS,PT,18,18,32214.8,1789.71,1976.6,14237.3,15200,800.9,0,93,64,27100.92,291.41,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),AGRICULTOR,10971,93804.64
2006,10013,MARLI BRIGIDA DOS REIS,ES,PSOL,19,17,26100,1373.68,0,23100,0,3e3,0,21,20,24897.09,1185.58,DEPUTADO FEDERAL,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),ASSISTENTE SOCIAL,5942,79733.35
2006,10014,ADILSON SOARES,RJ,PL,28,25,129578.53,4627.8,446.43,42353.2,81772,5006.9,0,126,96,110661.93,878.27,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),VEREADOR,48371,375600.05999999994
2006,10014,CAU<c3><8a> LIMA CANABARRO,RS,PT,3,3,3335,1111.67,0,335,3e3,0,0,67,54,3193.67,47.67,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),"ESTUDANTE, BOLSISTA, ESTAGI<c3><81>RIO E ASSEMELHADOS",1898,11150.01
2006,10014,JUSTINO CARVALHO NETO,MG,PPS,18,11,560162.92,31120.16,4062.92,0,11100,545e3,0,781,679,465613.82,596.18,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),EMPRES<c3><81>RIO,45567,1619145
2006,10014,THIAGO LIMA PEIXOTO COSTA,ES,PSOL,4,4,983,245.75,250,250,0,483,0,4,4,979,244.75,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,SOLTEIRO(A),SERVIDOR P<c3><9a>BLICO MUNICIPAL,349,3451.5
2006,10014,WALDIR DA SILVA CAM<c3><8a>LO,GO,PFL,10,10,14503.04,1450.3,9323.04,2250,0,2930,0,11,11,14503.04,1318.46,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADVOGADO,1034,46319.880000000005
2006,10015,ALIOMAR BORGES CORREA,GO,PFL,10,10,10788.04,1078.8,9323.04,0,400,1065,0,16,16,10788.04,674.25,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),POLICIAL CIVIL,1857,34169.17
2006,10015,ARI THESSING,RS,PT,8,8,32850,4106.25,0,10850,22e3,0,0,27,26,32113.65,1189.39,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,CASADO(A),VEREADOR,13814,103178.29000000001
2006,10015,<c3><89>RICO BRAZ COSTA JUNIOR,PR,PPS,2,2,420,210,0,0,420,0,0,2,2,420,210,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),COMERCI<c3><81>RIO,547,1688
2006,10015,LUCAS ANT<c3><94>NIO DE MORAIS,MG,PPS,1,1,695,695,695,0,0,0,0,1,1,695,695,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,SOLTEIRO(A),PROFESSOR DE ENSINO FUNDAMENTAL,1485,3479
2006,10015,ROBERTO JOS<c3><89> PEREIRA PINTO ROBERT<c3><83>O,RJ,PL,4,4,10150,2537.5,0,0,0,10150,0,10,10,10077.2,1007.72,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),M<c3><89>DICO,14233,33950.42
2006,10016,ABELMIDIO DE S<c3><81> RIBAS,PR,PPS,19,17,38e3,2e3,0,9e3,2e4,9e3,0,136,118,37827.7,278.14,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),MILITAR REFORMADO,11711,116395.84
2006,10016,ALEXANDRE SILVEIRA DE OLIVEIRA,MG,PPS,62,62,1124345.13,18134.6,2907,55530,1012848.44,53059.69,0,891,757,758465.08,851.25,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),POLICIAL CIVIL,147663,3027913.19
2006,10016,LOESTER NUNES DE OLIVEIRA,MS,PDT,6,6,59116,9852.67,12100,0,17016,3e4,0,29,29,59115.87,2038.48,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),M<c3><89>DICO,18799,189309.02000000002
2006,10016,REGINALDO GOMES GUEDES,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,CASADO(A),OUTROS,717,2664.5699999999997
2006,10016,ROSANE MARIA FERNANDES LIPERT,RS,PT,34,27,39336.6,1156.96,3536.6,12110,15140,8550,0,104,68,26533.4,255.13,DEPUTADO FEDERAL,FEMININO,SUPERIOR INCOMPLETO,SEPARADO(A) JUDICIALMENTE,VEREADOR,12175,106851.69
2006,10017,ENELVO IRADI FELINI,MS,PDT,12,10,44200,3683.33,0,6e3,25e3,1100,12100,30,27,38200,1273.33,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PRODUTOR AGROPECU<c3><81>RIO,18718,131635.66
2006,10017,HUMBERTO GUIMAR<c3><83>ES SOUTO,MG,PPS,26,23,277104.99,10657.88,2907,13240,4428,256529.99,0,218,196,270091.42,1238.95,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,VI<c3><9a>VO(A),OUTROS,64836,836661.23
2006,10017,MARCOS VALENTE ISFER,PR,PPS,18,17,151024.49,8390.25,0,13050,78674.49,59300,0,82,69,134177.36,1636.31,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,37860,446438.89999999997
2006,10017,ROGERIO PORTELLA PAIM,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ADVOGADO,946,2664.5699999999997
2006,10017,RONALDO RAMOS CAIADO,GO,PFL,81,80,1161954.47,14345.12,247325.44,347504,538820,28305.03,0,816,787,1062452.42,1302.03,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),M<c3><89>DICO,152895,3403772.51
2006,10018,ANT<c3><94>NIO ROSA CABRAL,MS,PDT,5,5,9560,1912,8300,0,0,1260,0,22,21,9555.39,434.34,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),MILITAR REFORMADO,810,31074.73
2006,10018,HILDEMAR SOUZA DE AZEVEDO PICAN<c3><87>O,AP,PL,8,7,100015.39,12501.92,0,25e3,5e4,25015.39,0,45,40,94984.69,2110.77,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,10336,309728.16000000003
2006,10018,RAIMUNDO FREIRE DE MOURA,MG,PPS,6,6,7807,1301.17,4807,0,0,3e3,0,44,16,5997.02,136.3,DEPUTADO FEDERAL,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),REPRESENTANTE COMERCIAL,1312,23120.489999999998
2006,10019,C<c3><89>LIO UBIRAJARA ARA<c3><9a>JO DIAS,AP,PL,2,2,880,440,0,0,880,0,0,2,2,880,440,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),JORNALISTA E REDATOR,434,3528
2006,10019,JESUS CAMPOS DE TOLEDO,MG,PPS,3,3,2657.76,885.92,2157.76,500,0,0,0,11,9,2640.04,240,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ENGENHEIRO,1567,9107.48
2006,10019,JO<c3><83>O LUCAS MARTINS,MS,PDT,7,7,14600,2085.71,8300,4800,1500,0,0,16,15,14480.57,905.04,DEPUTADO FEDERAL,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),"ESTUDANTE, BOLSISTA, ESTAGI<c3><81>RIO E ASSEMELHADOS",8855,46716.32
2006,10019,ORLANDO DESCONSI,RS,PT,85,81,162420,1910.82,0,56720,38700,67e3,0,296,263,135150.34,456.59,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),DEPUTADO,66103,463082.75
2006,10019,SIDNEI OLIVEIRA TELLES FILHO,PR,PPS,42,38,38640,920,0,8190,26350,4100,0,80,68,36137,451.71,DEPUTADO FEDERAL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),ENGENHEIRO,26484,115016.70999999999
2006,10020,ANT<c3><94>NIO EUST<c3><81>QUIO VIEIRA,MG,PPS,19,18,46720.71,2458.98,9802,36068.71,850,0,0,140,122,44733.4,319.52,DEPUTADO FEDERAL,MASCULINO,ENSINO M<c3><89>DIO COMPLETO,DIVORCIADO(A),OUTROS,2984,141252.32
